filename,mz,min_fdr,databases,label
2023-01-25_18h42m28s.imzML,171.078187645,1.0,,structured
2023-01-25_18h42m28s.imzML,449.375386903,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",localized
2023-01-25_18h42m28s.imzML,187.073102265,1.0,,structured
2023-01-25_18h42m28s.imzML,155.104250435,0.05,HMDB v4,structured
2023-01-25_18h42m28s.imzML,136.021546765,0.05,HMDB v4,fragmented
2023-01-25_18h42m28s.imzML,324.326091367,0.05,HMDB v4,structured
2023-01-25_18h42m28s.imzML,465.370301523,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",localized
2023-01-25_18h42m28s.imzML,385.380472283,0.05,LipidMaps 2017-12-12,structured
2023-01-25_18h42m28s.imzML,293.245101011,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,137.059705931,0.05,"NPA 2019-08,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,171.078035687,0.05,"LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,679.454461779,0.05,LipidMaps 2017-12-12,structured
2023-01-25_18h42m28s.imzML,317.116569345,0.05,NPA 2019-08,structured
2023-01-25_18h42m28s.imzML,407.328436711,0.05,"LipidMaps 2017-12-12,HMDB v4",localized
2023-01-25_18h42m28s.imzML,139.111741503,0.05,"LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,235.205641887,0.05,"LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,201.088752329,0.05,HMDB v4,structured
2023-01-25_18h42m28s.imzML,207.078187645,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,123.116826883,0.05,HMDB v4,structured
2023-01-25_18h42m28s.imzML,115.075355995,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,317.114815119,0.05,"NPA 2019-08,HMDB v4",structured
2023-01-25_18h42m28s.imzML,137.132476947,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,417.281994687,0.05,NPA 2019-08,unstructured
2023-01-25_18h42m28s.imzML,163.132870871,0.05,HMDB v4,fragmented
2023-01-25_18h42m28s.imzML,317.114967077,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,150.112469775,0.05,HMDB v4,fragmented
2023-01-25_18h42m28s.imzML,153.127391567,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,121.064791311,0.05,"LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,101.059705931,0.05,"LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,423.323351331,0.05,"LipidMaps 2017-12-12,HMDB v4",weak_structured
2023-01-25_18h42m28s.imzML,413.266230379,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,154.086255027,0.05,"NPA 2019-08,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,427.393442655,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",localized
2023-01-25_18h42m28s.imzML,687.356227155,0.05,NPA 2019-08,structured
2023-01-25_18h42m28s.imzML,201.088600371,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,315.227833875,0.05,NPA 2019-08,structured
2023-01-25_18h42m28s.imzML,129.091006059,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,357.349172155,0.05,LipidMaps 2017-12-12,structured
2023-01-25_18h42m28s.imzML,355.260751075,0.05,"LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,107.085526755,1.0,,fragmented
2023-01-25_18h42m28s.imzML,279.159085619,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,249.146115247,0.05,"NPA 2019-08,HMDB v4",unstructured
2023-01-25_18h42m28s.imzML,109.101176819,0.05,"NPA 2019-08,HMDB v4",weak_structured
2023-01-25_18h42m28s.imzML,301.143435555,0.05,"NPA 2019-08,LipidMaps 2017-12-12,HMDB v4",structured
2023-01-25_18h42m28s.imzML,522.597227835,0.05,HMDB v4,structured
2023-01-25_18h42m28s.imzML,255.062931505,0.05,NPA 2019-08,structured
2023-01-25_18h42m28s.imzML,631.113168101,0.05,NPA 2019-08,fragmented
2023-01-25_18h42m28s.imzML,413.268636067,0.05,"NPA 2019-08,HMDB v4",structured
2023-01-25_18h42m28s.imzML,199.047950137,0.05,"NPA 2019-08,HMDB v4",fragmented
2023-01-25_18h42m28s.imzML,731.382441903,0.05,NPA 2019-08,localized
